iso_country,2019_sum_dn,2020_sum_dn,country_change_rate
AE,532799,262567,-0.5071931441312765
AL,0,41,inf
AM,1800,4379,1.4327777777777777
AR,105454,29178,-0.7233106378136439
AT,299277,147062,-0.5086090812190713
AU,1762575,1091195,-0.38090861381785174
AW,955,0,-1.0
AZ,333,162,-0.5135135135135135
BA,542,289,-0.466789667896679
BB,17099,9275,-0.45757061816480493
BD,4093,9741,1.3799169313462007
BE,302166,162918,-0.46083278727586824
BG,19012,5454,-0.7131285503892278
BH,82251,36447,-0.5568807674070831
BM,10663,5327,-0.5004220200693988
BN,16011,5325,-0.6674161513959153
BO,32009,8838,-0.7238901558936549
BQ,69,0,-1.0
BR,704065,413306,-0.4129718136819754
BS,964,166,-0.8278008298755186
BY,1808,22969,11.704092920353983
CA,999305,755644,-0.243830462171209
CH,454940,259557,-0.42946982019606983
CL,2049,697,-0.659834065397755
CM,0,8,inf
CN,313452,399955,0.2759688883784439
CO,36669,105930,1.8888161662439662
CR,11221,16773,0.4947865609125746
CV,2198,445,-0.7975432211101001
CW,522,0,-1.0
CY,11749,16643,0.41654608902885354
CZ,148261,79619,-0.462980824357046
DE,2130617,1161306,-0.4549438026637354
DK,290970,146712,-0.4957830704196309
DO,2352,12124,4.154761904761905
DZ,30714,14027,-0.5433027283974735
EC,6012,4044,-0.3273453093812375
EE,28586,16630,-0.41824669418596516
EG,23,3819,165.04347826086956
EH,948,1280,0.350210970464135
EK,28,57,1.0357142857142858
ES,960445,502984,-0.47630108959909206
FI,183878,90108,-0.5099576893374955
FR,1231567,668800,-0.45695199692749155
GB,1977273,982887,-0.5029077927023734
GD,168,70,-0.5833333333333334
GE,1649,838,-0.49181322013341416
GG,8813,4705,-0.46612958130035176
GI,129,394,2.054263565891473
GM,3611,1356,-0.6244807532539463
GN,19,5,-0.7368421052631579
GR,238292,96425,-0.5953494032531516
GT,1072,9669,8.019589552238806
GW,466,94,-0.7982832618025751
HE,0,30,inf
HK,314413,161563,-0.4861440207625003
HN,0,6,inf
HR,50026,27949,-0.44131051853036424
HT,0,5,inf
HU,109787,45966,-0.5813165493182253
ID,107862,33421,-0.6901503773340009
IE,267491,112451,-0.5796082858862541
IL,83579,38235,-0.5425286256116967
IM,5346,2868,-0.46352413019079686
IN,1094452,620730,-0.4328394484180211
IQ,1,336,335.0
IR,8191,12559,0.5332682212184104
IS,55731,18641,-0.6655182932299797
IT,1126504,527480,-0.5317548805863095
JE,13442,5919,-0.5596637405148044
JO,1245,345,-0.7228915662650602
JP,687569,495555,-0.2792650628518738
KE,0,456,inf
KG,2520,39,-0.9845238095238096
KH,0,14,inf
KP,1,0,-1.0
KR,350507,241041,-0.3123076001335209
KW,438,691,0.5776255707762558
KZ,47915,28438,-0.4064906605447146
LA,12,8,-0.3333333333333333
LB,28377,13069,-0.5394509638087184
LC,3587,1887,-0.47393364928909953
LK,13277,12042,-0.09301800105445507
LT,16835,22466,0.33448173448173446
LU,58272,37937,-0.34896691378363537
LV,74330,35256,-0.5256827660433203
LY,16,31,0.9375
MA,15880,27347,0.722103274559194
MD,6,3,-0.5
ME,0,101,inf
MK,2020,0,-1.0
ML,1684,294,-0.8254156769596199
MO,63948,21802,-0.6590667417276537
MQ,78,23,-0.7051282051282052
MR,274,49,-0.8211678832116789
MT,27829,22331,-0.1975636925509361
MX,142882,83090,-0.41847118601363364
MY,527144,183051,-0.652749533334345
MZ,264,0,-1.0
NA_,1,0,-1.0
NI,0,1301,inf
NL,491651,269795,-0.451246921088333
NO,311031,230456,-0.2590577788066141
NP,17169,2880,-0.8322558098899179
NZ,336877,295143,-0.12388497879047843
OM,278,218,-0.2158273381294964
PA,0,6245,inf
PE,43730,47488,0.08593642808140864
PF,17632,9697,-0.4500340290381125
PH,270319,103747,-0.6162052981847372
PK,4147,2976,-0.28237279961417894
PL,281142,196567,-0.30082662853646913
PM,287,41,-0.8571428571428571
PR,3431,49557,13.443893908481492
PT,281027,165954,-0.40947311112455387
PY,5,0,-1.0
QA,241803,150083,-0.37931704734846133
RO,74411,44122,-0.40705003292523956
RS,36617,19498,-0.4675150886200399
RU,878921,550612,-0.37353641567330853
SA,212081,78265,-0.6309664703580236
SE,373727,169407,-0.5467092289291381
SG,118999,116849,-0.018067378717468215
SI,18653,13928,-0.25331045944352115
SK,23580,15377,-0.3478795589482612
SN,20426,6649,-0.6744835014197591
SR,1,0,-1.0
SY,6,35,4.833333333333333
TC,0,2197,inf
TH,407251,149589,-0.6326859848103503
TN,1031,970,-0.05916585838991271
TR,559677,322963,-0.4229475215168749
TT,121,27,-0.7768595041322314
TW,349267,199809,-0.42791904187913543
UA,80175,59382,-0.25934518241347054
US,21704505,21639571,-0.0029917291364166105
UY,4753,96,-0.9798022301704187
UZ,4267,895,-0.7902507616592453
VC,4335,2564,-0.4085351787773933
VE,1017,484,-0.5240904621435595
VN,4716,55922,10.857930449533503
XK,1035,0,-1.0
ZA,147345,57846,-0.607411177847908
